"","mean","sd","2.5%","97.5%","n_eff","Rhat"
"Intercept",2.48009560428571,0.267511542432121,1.95552919762075,3.02386446607998,1828.68217136097,1.00179362764695
"b_Trop",-2.11268157256316,0.258136408301906,-2.64960353614128,-1.64147828668912,2306.42380062784,1.00113366988224
"b_CT",-0.12536841049433,0.110000213133772,-0.340189529222314,0.0875811875024134,4122.25656204342,1.00019783718161
"b_DD",-0.115693797442712,0.108916565961847,-0.332365631139577,0.0970809492062443,3816.92442352748,1.00056930647748
"b_IC",-0.177831221885905,0.109746787130649,-0.391496242235818,0.036699982972715,4122.45795887168,1.00049166432562
"b_MI",-0.397118753497454,0.126899202608493,-0.649306960229076,-0.157932548130179,4338.5680567388,0.999938299107369
"b_PC",0.285900803249103,0.108196677739013,0.0668335543194932,0.493025546283461,4233.04965514753,0.999819213925663
"b_PP",2.62426684030202,0.163243687793732,2.31428934701506,2.95200269048459,5470.42371213778,1.00026950066826
"b_SS",-0.199407935960092,0.112659844047641,-0.426579325415411,0.0162239100426535,4166.5099004955,1.00015737450793
"b_SP",-0.389530838045538,0.115853562428366,-0.616958241115954,-0.162526889983553,4363.00238856972,1.00006553369151
"b_Trop_X_CT",1.04924384553071,0.31275318348714,0.459038660709065,1.68843774991459,2905.43918724616,1.00086766214232
"b_Trop_X_DD",0.769485078631881,0.319285933466852,0.155977164069327,1.40977166468747,2993.10341733057,1.00057920146295
"b_Trop_X_IC",0.778815817063259,0.310782673967791,0.183027519963985,1.41732682923836,2768.36708534367,1.00098295730559
"b_Trop_X_MI",2.0734859237827,0.293974369480662,1.52251036862095,2.67976918695044,2685.99958711665,1.00085785175544
"b_Trop_X_PC",0.950791901249871,0.323580324813429,0.334396991981653,1.59744368659148,2964.3129342496,1.00070898406946
"b_Trop_X_PP",0.717486004256916,0.314698364846064,0.117376492159228,1.35174813140889,3006.71548756635,1.00095002452333
"b_Trop_X_SS",1.13338741162271,0.302333306236443,0.565248921491713,1.74835695385489,2785.9467633991,1.00110491379822
"b_Trop_X_SP",1.52142750452465,0.295307671068609,0.964226187277763,2.1197967175847,2741.89499086447,1.00088124749393
"v_Intercept[1]",-0.382766395734655,0.276392867750392,-0.931246624564768,0.151231889402598,2132.68899655018,1.00154486210963
"v_Intercept[2]",-0.977991397431563,0.304518646971641,-1.60347669296268,-0.392873656480422,2548.62671291884,1.00244421642733
"v_Intercept[3]",0.970131415373841,0.261966219173621,0.44354158288635,1.47733134868794,1896.56794499437,1.00213089271961
"v_Intercept[4]",-0.843693579790742,0.288747970329358,-1.41870672868871,-0.290656077170396,2283.83249646145,1.00162796492079
"v_Intercept[5]",0.712592104533105,0.262610584854817,0.174881105149866,1.21495548753126,1924.36741856021,1.00215500481553
"v_Intercept[6]",0.809687774180803,0.262408143057486,0.274064883277907,1.3164909471164,1930.92663337519,1.00177826281209
"v_Intercept[7]",0.403612631861422,0.266849782544233,-0.135797425139096,0.92836502608116,1968.49565554475,1.00171744080998
"v_Intercept[8]",-0.611085610847216,0.286483876079767,-1.2032859509296,-0.056932058138053,2273.58219130609,1.00120582897676
"v_Intercept[9]",-0.768073985864662,0.331570108552321,-1.45549547256217,-0.14957347808996,2964.39433168052,1.00139064782495
"v_Intercept[10]",-0.0330991921490173,0.279502040050953,-0.598626556927792,0.504026100870664,2149.14093345227,1.00203008491097
"v_Intercept[11]",1.27844615417752,0.26004981749231,0.750473740080103,1.78541509446449,1887.14615245217,1.00197265984324
"v_Intercept[12]",-0.532253980621747,0.285755353951861,-1.11148776527453,0.0164287495104042,2235.6665848195,1.00206327889158
"sigma_TAXON",0.870235375683672,0.206167723654588,0.571242728943983,1.37221467522243,5318.69331591432,1.00004004467627
