"","mean","sd","2.5%","97.5%","n_eff","Rhat"
"Intercept",2.47933510389342,0.272110592876927,1.93594913347663,3.02545849372712,1980.13315426469,1.00036797186799
"b_Trop",-2.11407207496678,0.251701369136993,-2.630583022098,-1.6411121122136,2319.58842359115,1.0012783942652
"b_CT",-0.126767212584046,0.108829591891616,-0.343023322319031,0.0847558480248403,4340.48888420912,1.0001445831424
"b_DD",-0.11620469264854,0.106564062923294,-0.323878119758747,0.0974760227986013,4498.09870826056,1.00070556009113
"b_IC",-0.17712379435008,0.108113887061933,-0.388483898287917,0.0310736374796406,4804.6607198659,1.00013963356654
"b_MI",-0.394964589436016,0.125188858365036,-0.646460411002336,-0.151656004700148,4973.48266276222,1.00019409043491
"b_PC",0.286102284905838,0.108140507142283,0.0752089299864265,0.497505537861,4375.57069778556,1.000145701811
"b_PP",2.62249027757867,0.157657391564749,2.31323354399215,2.93991054746472,5830.70136491148,1.00069306072982
"b_SS",-0.198874914598186,0.11162093783966,-0.417918235556828,0.021843698532988,4695.43071416618,1.00013802754058
"b_SP",-0.390300198927364,0.115520124954641,-0.61785946726362,-0.164663117022163,4586.31483778156,1.00057933523066
"b_Trop_X_CT",1.05237230352552,0.306681970384687,0.45891752390592,1.66633539874664,2925.76671806257,1.00064893659155
"b_Trop_X_DD",0.769667269688477,0.317139859941722,0.170245797636436,1.39469448449829,2985.9944602467,1.00155498258876
"b_Trop_X_IC",0.779044656654436,0.303827222618572,0.196557491120109,1.38109316847978,2866.53399536006,1.00096889295606
"b_Trop_X_MI",2.07375281171869,0.288470047011261,1.53217213116997,2.6600603304315,2761.37514107055,1.00093056185622
"b_Trop_X_PC",0.950855477330986,0.32035111025441,0.324454627392151,1.58566593488488,3031.92138678754,1.00059682516865
"b_Trop_X_PP",0.718856281468261,0.308909805303233,0.124263659913368,1.32646415491256,2905.16427806312,1.0012424757115
"b_Trop_X_SS",1.1338149846623,0.296092743378384,0.559028772745995,1.71384875640706,2784.35278509871,1.00089859749351
"b_Trop_X_SP",1.52085744809209,0.293556887889922,0.953182220820843,2.11575795377773,2724.67278026445,1.00125378550822
"v_Intercept[1]",-0.383682127567508,0.283710761214322,-0.958867408580597,0.187573027976677,2145.12367160042,1.00023231768545
"v_Intercept[2]",-0.977674781867022,0.308563189039053,-1.60252033896862,-0.398050972549604,2562.74547322768,1.00025153541881
"v_Intercept[3]",0.971405194500421,0.268786584373089,0.436151221365615,1.50486333314251,2019.1003563154,1.00036522036224
"v_Intercept[4]",-0.841254568469142,0.297617712136666,-1.44726189932845,-0.269883381868903,2470.08490338223,1.00025217819654
"v_Intercept[5]",0.713752193586686,0.270592247875782,0.178649275145333,1.24538043159952,1969.77344316816,1.00032188790228
"v_Intercept[6]",0.810771557989497,0.269134435773576,0.273211770345125,1.34191315389907,1986.92175110276,1.00050043042264
"v_Intercept[7]",0.405225716667149,0.275219709687262,-0.151996927177361,0.957126977284296,2094.48614221403,1.00028006185172
"v_Intercept[8]",-0.610412459701904,0.292564769066121,-1.18931201397772,-0.0451343294553737,2230.42166754285,1.0001001641323
"v_Intercept[9]",-0.765876673274844,0.340282141809286,-1.456014686924,-0.109829229339279,3034.82217465855,1.00054554253508
"v_Intercept[10]",-0.0293121775106574,0.284839768078508,-0.600395125948537,0.527077237513399,2108.15526614173,1.00044882982168
"v_Intercept[11]",1.28001731991664,0.26809700446902,0.749093512232983,1.80380133539798,1958.81000384787,1.00025752026286
"v_Intercept[12]",-0.531010049463962,0.290787860905367,-1.11714231194862,0.0380755816411129,2238.01267822512,1.00034343610386
"sigma_TAXON",0.86966260230201,0.206086324063159,0.574787657723222,1.36811837005397,5871.67112709123,1.00062748427677
